City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Isla Vista,US,34.4133,-119.861,77.68,66,1,13.8,clear sky
316,Tarakan,ID,3.3,117.6333,78.57,82,100,9.75,moderate rain
317,Aloleng,PH,16.1307,119.7824,85.6,72,71,5.91,broken clouds
318,Areosa,PT,41.7178,-8.8571,66.33,90,1,8.37,clear sky
319,Steamboat Springs,US,40.485,-106.8317,74.79,18,1,6.91,clear sky
320,Liberal,US,37.0431,-100.921,81.63,57,1,8.05,clear sky
321,Strezhevoy,RU,60.7333,77.5889,46.38,95,100,12.3,light rain
322,Huilong,CN,31.8111,121.655,78.98,75,100,18.3,overcast clouds
323,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,75,11.5,broken clouds
324,Tura,IN,25.5198,90.2201,76.6,95,100,1.83,overcast clouds
325,Iquitos,PE,-3.7481,-73.2472,82.44,74,20,4.61,few clouds
326,Osoyoos,CA,49.0331,-119.4524,65.79,48,91,13.8,overcast clouds
327,Udarnyy,RU,54.3409,42.8611,44.6,78,100,8.61,overcast clouds
328,Tessalit,ML,20.1986,1.0114,87.1,35,1,6.69,clear sky
329,Ahipara,NZ,-35.1667,173.1667,61.99,90,45,14.12,light rain
330,Vikhorevka,RU,56.1201,101.1636,42.39,85,99,1.7,overcast clouds
331,Tambovka,RU,50.0969,128.0489,55.51,94,100,11.21,overcast clouds
332,Pevek,RU,69.7008,170.3133,31.23,70,100,12.35,overcast clouds
333,Cabadiangan,PH,9.7531,122.4739,84.58,73,80,7.11,broken clouds
334,The Valley,AI,18.217,-63.0578,83.82,77,100,17.45,overcast clouds
335,Hay River,CA,60.8156,-115.7999,49.98,76,75,19.57,light rain
336,Cochrane,CA,51.1834,-114.4687,52.21,38,1,14.97,clear sky
337,Iracoubo,GF,5.4802,-53.2011,79.36,86,1,9.66,clear sky
338,Suhbaatar,MN,50.2314,106.2078,59.58,62,5,4.29,clear sky
339,Pontal Do Parana,BR,-25.6533,-48.5128,64.2,93,100,7.27,overcast clouds
